Data_Type,Location,Camera_Install_Year,Date_of_Data_Collection,AvgSpeed,Pct85th,PctCompliance,PctHighEndSpeeders,ObjectId
ASE Active ,E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ,2020,July-2021,49,56,64,2.3,1
ASE Active ,E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.,2020,July-2021,39,45,65,2.2,2
ASE Active ,E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.,2020,August-2021,40,45,63,1.2,3
ASE Active ,E002 - Innes Rd. between Provence Ave. and Trim Rd.,2020,August-2021,59,66,64,1.8,4
ASE Active ,E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ,2020,August-2021,38,46,66,1.8,5
ASE Active ,E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way,2020,August-2021,41,50,59,6,6
ASE Active ,E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ,2020,August-2021,40,46,61,2.2,7
ASE Active ,E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate,2020,August-2021,50,57,60,2.6,8
ASE Active ,E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ,2020,August-2021,49,56,65,2.3,9
ASE Active ,E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.,2020,August-2021,39,45,67,2,10
ASE Active ,E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.,2020,September-2021,39,44,68,0.9,11
ASE Active ,E002 - Innes Rd. between Provence Ave. and Trim Rd.,2020,September-2021,58,65,67,1.5,12
ASE Active ,E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ,2020,September-2021,37,46,69,1.7,13
ASE Active ,E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way,2020,September-2021,40,49,63,4.8,14
ASE Active ,E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ,2020,September-2021,39,44,68,1.3,15
ASE Active ,E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate,2020,September-2021,48,56,66,2.1,16
ASE Active ,E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ,2020,September-2021,47,55,70,1.8,17
ASE Active ,E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.,2020,September-2021,38,44,71,1.8,18
ASE Active ,E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.,2020,October-2021,39,44,70,0.8,19
ASE Active ,E002 - Innes Rd. between Provence Ave. and Trim Rd.,2020,October-2021,58,65,68,1.5,20
ASE Active ,E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ,2020,October-2021,37,46,69,1.8,21
ASE Active ,E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way,2020,October-2021,40,49,63,5.1,22
ASE Active ,E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ,2020,October-2021,39,44,69,1.5,23
ASE Active ,E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate,2020,October-2021,49,56,66,2.1,24
ASE Active ,E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ,2020,October-2021,47,55,71,1.7,25
ASE Active ,E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.,2020,October-2021,38,44,72,1.7,26
ASE Active ,E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.,2020,November-2021,38,43,72,0.8,27
ASE Active ,E002 - Innes Rd. between Provence Ave. and Trim Rd.,2020,November-2021,58,65,69,1.5,28
ASE Active ,E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ,2020,November-2021,37,45,70,1.7,29
ASE Active ,E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way,2020,November-2021,39,48,66,4.3,30
ASE Active ,E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ,2020,November-2021,39,44,69,1.5,31
ASE Active ,E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate,2020,November-2021,49,56,66,2.3,32
ASE Active ,E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ,2020,November-2021,47,54,72,1.7,33
ASE Active ,E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.,2020,November-2021,38,43,74,1.6,34
ASE Active ,E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.,2020,December-2021,38,43,74,0.6,35
Pre ASE Installation,E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.,2020,June-2019,48,55,14,12,36
ASE Active ,E002 - Innes Rd. between Provence Ave. and Trim Rd.,2020,December-2021,57,64,74,1.2,37
ASE Active ,E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ,2020,December-2021,37,45,71,1.4,38
ASE Active ,E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way,2020,December-2021,39,47,67,3.7,39
ASE Active ,E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ,2020,December-2021,38,44,72,1.3,40
ASE Active ,E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate,2020,December-2021,48,55,70,1.6,41
ASE Active ,E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ,2020,December-2021,46,54,74,1.6,42
ASE Active ,E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.,2020,December-2021,38,43,75,1.6,43
ASE Active ,E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.,2020,January-2022,37,42,77,0.6,44
ASE Active ,E002 - Innes Rd. between Provence Ave. and Trim Rd.,2020,January-2022,57,64,73,1.3,45
ASE Active ,E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ,2020,January-2022,37,45,72,1.4,46
ASE Active ,E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way,2020,January-2022,38,47,70,3.5,47
ASE Active ,E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ,2020,January-2022,38,44,73,1.5,48
ASE Active ,E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate,2020,January-2022,47,54,71,1.5,49
ASE Active ,E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ,2020,January-2022,46,54,75,1.5,50
ASE Active ,E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.,2020,January-2022,38,43,74,1.7,51
Pre ASE Installation,E002 - Innes Rd. between Provence Ave. and Trim Rd.,2020,May-2019,66,74,23,11,52
Pre ASE Installation,E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ,2020,June-2018,48,54,14,12,53
Pre ASE Installation,E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way,2020,September-2018,49,56,12,17,54
Pre ASE Installation,E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ,2020,May-2019,50,58,10,22,55
Pre ASE Installation,E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate,2020,May-2019,58,66,17,16,56
Pre ASE Installation,E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ,2020,N/A,N/A,63,28,9,57
Pre ASE Installation,E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.,2020,June-2018,46,52,16,8,58
ASE Active ,E002 - Innes Rd. between Provence Ave. and Trim Rd.,2020,July-2020,62,71,44,6.1,59
ASE Active ,E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ,2020,July-2020,44,53,32,8.7,60
ASE Active ,E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ,2020,July-2020,53,61,43,7.2,61
ASE Active ,E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.,2020,July-2020,42,50,45,5.5,62
ASE Active ,E002 - Innes Rd. between Provence Ave. and Trim Rd.,2020,August-2020,62,70,46,5.3,63
ASE Active ,E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ,2020,August-2020,42,51,41,5.5,64
ASE Active ,E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way,2020,August-2020,45,54,31,12.2,65
ASE Active ,E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate,2020,August-2020,55,64,30,10.9,66
ASE Active ,E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ,2020,August-2020,53,61,43,6.8,67
ASE Active ,E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.,2020,August-2020,42,50,47,5.2,68
ASE Active ,E002 - Innes Rd. between Provence Ave. and Trim Rd.,2020,September-2020,60,68,56,3.3,69
ASE Active ,E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ,2020,September-2020,40,49,54,3.9,70
ASE Active ,E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way,2020,September-2020,44,54,41,10.2,71
ASE Active ,E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate,2020,September-2020,53,63,38,8.8,72
ASE Active ,E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ,2020,September-2020,N/A,0,0,0,73
ASE Active ,E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.,2020,September-2020,N/A,0,0,0,74
ASE Active ,E002 - Innes Rd. between Provence Ave. and Trim Rd.,2020,October-2020,59,67,60,2.7,75
ASE Active ,E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ,2020,October-2020,39,48,59,3.4,76
ASE Active ,E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way,2020,October-2020,43,53,47,8.8,77
ASE Active ,E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate,2020,October-2020,52,62,42,7.8,78
ASE Active ,E007 - Smyth Rd. between Haig Dr. and Edgecomb St. ,2020,October-2020,N/A,0,0,0,79
ASE Active ,E008 - Meadowlands Dr. W. between Winthrow Ave. and Thatcher St.,2020,October-2020,N/A,0,0,0,80
ASE Active ,E001 - Longfields Dr. between Highbury Park Dr. and Via Verona Ave.,2020,November-2020,41,48,50,2.9,81
ASE Active ,E002 - Innes Rd. between Provence Ave. and Trim Rd.,2020,November-2020,58,66,64,2.1,82
ASE Active ,E003 - Bayshore Dr. between Woodridge N Cres. And Woodridge S Cres. ,2020,November-2020,38,47,64,2.5,83
ASE Active ,E004 - Katimavik Rd. between Castlefrank Rd. and McGibbon Dr./Sewall Way,2020,November-2020,N/A,0,0,0,84
ASE Active ,E005 - Watters Dr. between Charlemagne Blvd. and Roberval Ave. ,2020,November-2020,41,48,55,3.5,85
ASE Active ,E006 - Ogilvie Rd. between Appleford St. and Elmlea Gate,2020,November-2020,N/A,0,0,0,86
