PM,Surname,Ministerial title,Rank,Department,Date,Reason,Type,Link,Cabinet?
Thatcher,Speed,Parliamentary Under-Secretary (Ministry of Defence) (Royal Navy),PUSS,MoD,18/05/1981,Chose not to resign over opposition to Navy cuts,Sacked,https://en.wikipedia.org/wiki/Keith_Speed,
Thatcher,Fairbairn,Solicitor-General Scotland,MoS,Laws Office,21/01/1982,Handling of a Scottish prosecution,Standards,https://www.margaretthatcher.org/document/104858,
Thatcher,Oppenheim,Minister of State (Consumer Affairs),MoS,Department of Trade,5/3/1982,Personal - death of husband,Personal/other,https://www.margaretthatcher.org/document/104871,
Thatcher,Carrington,Secretary of State for Foreign and Commonwealth Affairs,SoS,FCO,5/4/1982,Falklands,Accountability,https://www.margaretthatcher.org/document/104911,Y
Thatcher,Atkins,Lord Privy Seal,SoS,N/A,5/4/1982,Falklands,Accountability,https://www.margaretthatcher.org/document/104911,Y
Thatcher,Luce,Minister of State (Foreign and Commonwealth Office),MoS,FCO,5/4/1982,Falklands,Accountability,https://www.margaretthatcher.org/document/104911,
Thatcher,Budgen,,Assistant Whip,Commons Whip; HMT,8/5/1982,Northern Ireland policy,Disagreement,https://www.margaretthatcher.org/document/122573,
Thatcher,Nott,Secretary of State for Defence,SoS,MoD,6/1/1983,Personal,Personal/other,,Y
Thatcher,Parkinson,Secretary of State for Trade,SoS,DTI,11/10/1983,Personal - child with former secretary,Personal/other,https://www.margaretthatcher.org/archive/1983cac3.asp,Y
Thatcher,Mansfield,Earl of Mansfield,MoS,NIO,12/4/1984,Unclear,Unclear,,
Thatcher,Cockfield,Chancellor of the Duchy of Lancaster,SoS,N/A,11/9/1984,Became European Commissioner,Personal/other,https://www.margaretthatcher.org/document/105744,y
Thatcher,Hogg,,Assistant Whip,Commons Whip; HMT,1/10/1984,Unclear,Unclear,,
Thatcher,Eden,Parliamentary Under-Secretary of State for Environment,PUSS,Environment,26/03/1985,Ill health,Personal/other,https://www.nytimes.com/1985/08/21/world/nicholas-eden-earl-of-avon-and-former-aide-to-thatcher.html,
Thatcher,Gow,Minister of State (HM Treasury),MoS,HMT,16/11/1985,Northern Ireland policy,Disagreement,https://www.margaretthatcher.org/document/106174,
Thatcher,Heseltine,Secretary of State for Defence,SoS,MoD,7/1/1986,Westland affair,Disagreement,https://www.margaretthatcher.org/document/106298,Y
Thatcher,Brittan,President of the Board of Trade,SoS,DTI,22/01/1986,Westland affair,Personal/other,https://www.margaretthatcher.org/document/106316,Y
Thatcher,Joseph,Secretary of State for Education and Science,SoS,Department for Education and Science,21/05/1986,Thought fresh voice needed,Personal/other,https://www.margaretthatcher.org/document/106396,y
Thatcher,Havers,Lord Chancellor,SoS,Lord Chancellor department,26/10/1987,Ill health,Personal/other,https://www.margaretthatcher.org/document/106953,y
Thatcher,Whitelaw,Lords Leader,MoS,Privy Council Office,10/1/1988,Ill health,Personal/other,https://www.margaretthatcher.org/document/107145,y
Thatcher,Currie,Parliamentary Under-Secretary (Department of Health),PUSS,DfH,16/12/1988,Salmonella remarks,Personal/other,https://www.margaretthatcher.org/document/107423,
Thatcher,Lawson,Chancellor of the Exchequer,SoS,HMT,29/10/1989,Economic policy,Disagreement,https://www.margaretthatcher.org/document/107805,Y
Thatcher,Fowler,Secretary of State for Employment,SoS,Department for Employment,3/1/1990,Spend more time with family,Personal/other,https://www.margaretthatcher.org/document/107986,y
Thatcher,Walker,Secretary of State for Wales,SoS,Wal,4/5/1990,Unclear,Unclear,https://www.theguardian.com/theguardian/2010/jun/23/lord-walker-of-worcester-obituary,y
Thatcher,Ridley,Secretary of State for Trade,SoS,DTI,13/07/1990,Remarks about Germany and Europe,Standards,https://www.margaretthatcher.org/document/108153,Y
Thatcher,Nicholls,Parliamentary Under-Secretary (Department of Environment),PUSS,Department for the Environment,11/10/1990,Arrest for drink driving,Personal/other,https://www.margaretthatcher.org/document/108215,
Thatcher,Howe,Deputy Prime Minister of the United Kingdom,DPM,CO,1/11/1990,European policy,Disagreement,https://www.margaretthatcher.org/document/108236,Y
Major,Denham,"Captain of the Honourable Corps of Gentlemen-at-Arms (HM Household) (Chief Whip, House of Lords)",Lords Chief Whip,Lords Whip,22/05/1991,Stepped down,Personal/other,https://hansard.parliament.uk/Lords/1991-05-22/debates/73f5cb1f-843c-4393-84f2-da10ea467805/LordDenhamTributes,
Major,Mellor,National Heritage,SoS,DCMS,22/09/1992,Personal - affair,Personal/other,http://news.bbc.co.uk/onthisday/hi/dates/stories/september/24/newsid_2529000/2529115.stm,Y
Major,Forman,Parliamentary Under-Secretary (Department of Education and Science),PUSS,Department for Education and Science,11/12/1992,Personal reasons,Personal/other,https://www.independent.co.uk/news/uk/politics/education-minister-quits-1563092.html,
Major,Mates,Minister of State (Northern Ireland Office),MoS,NIO,24/06/1993,Links with Asil Nadir,Standards,https://www.independent.co.uk/news/mates-thrown-to-media-wolves-tories-blame-serious-fraud-office-campaign-for-resignation-amid-anger-1493604.html,
Major,Hesketh,Chief Whip of the House of Lords Captain of the Honourable Corps of Gentlemen-at-Arms,Chief Whip,Lords Whips,16/09/1993,Unclear,Unclear,https://www.lgcplus.com/ministerial-resignation-and-appointments-house-of-lords/1658241.article,
Major,Yeo,Minister (Department of Environment) (Environment and Countryside),MoS,Department for the Environment,5/1/1994,Personal - child out of wedlock,Personal/other,https://preview.independent.co.uk/news/uk/the-yeo-resignation-mp-hopes-for-end-to-distressing-intrusions-the-letters-1405144.html,
Major,Caithness,Minister of State for Railways and Roads,MoS,DfT,11/1/1994,Personal - death of wife,Personal/other,https://www.heraldscotland.com/news/12702398.another-blow-for-tories-lord-caithness-resigns-after-wifes-death/,
Major,Brown,,Assistant Whip,Commons Whip; HMT,9/5/1994,Personal - alleged homosexual affair,Personal/other,https://www.bbc.co.uk/news/uk-england-36468511,
Major,Smith,Parliamentary Under-Secretary (Northern Ireland Office),PUSS,NIO,20/10/1994,Cash for questions,Standards,https://www.theguardian.com/politics/1994/oct/20/conservatives.uk,
