"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal"
"93283","Life expectancy at birth, (upper age band 90+)","","","E92000001","England","England","Male","All ages","","","2015 - 19","79.65706644","79.63455954","79.67957335","","","","","","","","","20150000","",""
"93283","Life expectancy at birth, (upper age band 90+)","","","E09000019","Islington","Ward","Male","All ages","","","2015 - 19","79.52622612781039","79.07695621147225","79.97549604414853","","","","","","","Similar","","20150000","",""
"93283","Life expectancy at birth, (upper age band 90+)","E09000019","Islington","E05000366","Barnsbury","Ward","Male","All ages","","","2015 - 19","78.6049","76.8381","80.3717","","","","","","","Similar","Similar","20150000","",""
"93283","Life expectancy at birth, (upper age band 90+)","E09000019","Islington","E05000367","Bunhill","Ward","Male","All ages","","","2015 - 19","80.9379","78.9224","82.9534","","","","","","","Similar","Similar","20150000","",""
"93283","Life expectancy at birth, (upper age band 90+)","E09000019","Islington","E05000368","Caledonian","Ward","Male","All ages","","","2015 - 19","79.4096","77.4551","81.3642","","","","","","","Similar","Similar","20150000","",""
"93283","Life expectancy at birth, (upper age band 90+)","E09000019","Islington","E05000369","Canonbury","Ward","Male","All ages","","","2015 - 19","80.4672","77.9812","82.9532","","","","","","","Similar","Similar","20150000","",""
"93283","Life expectancy at birth, (upper age band 90+)","E09000019","Islington","E05000370","Clerkenwell","Ward","Male","All ages","","","2015 - 19","82.6926","80.2763","85.109","","","","","","","Better","Better","20150000","",""
"93283","Life expectancy at birth, (upper age band 90+)","E09000019","Islington","E05000371","Finsbury Park","Ward","Male","All ages","","","2015 - 19","77.9365","76.5192","79.3538","","","","","","","Worse","Worse","20150000","",""
"93283","Life expectancy at birth, (upper age band 90+)","E09000019","Islington","E05000372","Highbury East","Ward","Male","All ages","","","2015 - 19","80.8419","79.222","82.4618","","","","","","","Similar","Similar","20150000","",""
"93283","Life expectancy at birth, (upper age band 90+)","E09000019","Islington","E05000373","Highbury West","Ward","Male","All ages","","","2015 - 19","81.0743","79.4766","82.6719","","","","","","","Similar","Similar","20150000","",""
"93283","Life expectancy at birth, (upper age band 90+)","E09000019","Islington","E05000374","Hillrise","Ward","Male","All ages","","","2015 - 19","77.1333","75.5004","78.7663","","","","","","","Worse","Worse","20150000","",""
"93283","Life expectancy at birth, (upper age band 90+)","E09000019","Islington","E05000375","Holloway","Ward","Male","All ages","","","2015 - 19","79.1331","77.2039","81.0623","","","","","","","Similar","Similar","20150000","",""
"93283","Life expectancy at birth, (upper age band 90+)","E09000019","Islington","E05000376","Junction","Ward","Male","All ages","","","2015 - 19","77.8944","75.9994","79.7893","","","","","","","Similar","Similar","20150000","",""
"93283","Life expectancy at birth, (upper age band 90+)","E09000019","Islington","E05000377","Mildmay","Ward","Male","All ages","","","2015 - 19","77.628","75.91","79.3461","","","","","","","Worse","Worse","20150000","",""
"93283","Life expectancy at birth, (upper age band 90+)","E09000019","Islington","E05000378","St George's","Ward","Male","All ages","","","2015 - 19","80.6284","78.4561","82.8008","","","","","","","Similar","Similar","20150000","",""
"93283","Life expectancy at birth, (upper age band 90+)","E09000019","Islington","E05000379","St Mary's","Ward","Male","All ages","","","2015 - 19","82.7074","80.3625","85.0523","","","","","","","Better","Better","20150000","",""
