Free votes in the House of Commons since 1979													
Date	Debate	Hansard Ref	Division	Ayes	Noes	Session	Parliament			30/03/2022	"Health and Care Bill (Lords amendments)
Making permanent telemedicine for early medical abortion"		
13/07/1979	Abortion (Amendment) Bill (Second Reading)	970 cc891-984	Div 57	242	98	1979-80	1979			44852	"Public Order Bill (Rport Stage)
Introduces areas around abortion clinics and hospitals (buffer zones) where interference with, and intimidation or harassment of, women accessing or people providing abortion services would be an offence"		
19/07/1979	Death Penalty Motion (Capital Punishment)	970 cc2019-126	Div 70	243	362	1979-80	1979			45425	"Risk-based Exclusion
Motion to approve (Amendment O)"		
20/07/1979	Road Traffic (Seat Belts) Bill (Second Reading)	970 cc2199-290	Div 72	134	59	1979-80	1979			45625	Terminally Ill Adults (End of Life) Bill (Second Reading)		
30/01/1980	"Televising of Parliament Bill (Tied vote, the Deputy Speaker cast his vote with the Ayes)"	977 cc1362-71	Div 148	201	201	1979-80	1979						
11/05/1982	Criminal Justice Bill (Report Stage) (Liability to Capital Punishment)	23 cc608-701	Div 142	357	195	1981-82	1979						
11/05/1982	Criminal Justice Bill (Report Stage) (Death Penalty for Terrorism Involving Loss of Life)	23 cc608-701	Div 143	176	332	1981-82	1979						
11/05/1982	Criminal Justice Bill (Report Stage) (Dealth Penalty for Murder by Firearms or Explosives	23 cc608-701	Div 144*	176	343	1981-82	1979						
11/05/1982	Criminal Justice Bill (Report Stage) (Death Penalty for Murder of Police and Prison Officers)	23 cc608-701	Div 144*	208	332	1981-82	1979						
11/05/1982	Criminal Justice Bill (Report Stage) (Death Penalty for Murder in course of Robbery and Burglary with Offensive Weapons)	23 cc608-701	Div 146	151	331	1981-82	1979						
13/07/1983	Death Penalty (For Murder Resulting from Acts of Terrorism)  	45 cc882-986	Div 16	245	361	1983-84	1983						
13/07/1983	Death Penalty (For Murder of a Police Officer during the course of his duties)	45 cc882-986	Div 17	263	344	1983-84	1983						
13/07/1983	Death Penalty (For Murder of a Prison Officer during the Course of his Duties)	45 cc882-986	Div 18	252	348	1983-84	1983						
13/07/1983	Death Penalty (for Murder by Shooting or causing an Explosion)	45 cc882-986	Div 19	204	374	1983-84	1983						
13/07/1983	Death Penalty (Murder in the course or furtherance of Theft)	45 cc882-986	Div 20	194	369	1983-84	1983						
13/07/1983	Death Penalty - Main Question: That this House Favours the Restoration of the Death Penalty for Murder	45 cc882-986	Div 21	223	368	1983-84	1983						
13/06/1984	Matrimonial and Family Proceedings Bill (Third Reading) 	61 cc926-1045	Div 370	119	16	1983-84	1983						
20/07/1984	"Office, Secretarial and Research allowance"	64 cc617-70	Div 421	108	14	1983-84	1983						
20/11/1985	Televising the House (to approve the principle of experimental televising)	87 cc277-366	Div 83	263	275	1985-86	1983						
01/04/1987	Criminal Justice Bill - New Clause 1 (Death Penalty)	113 cc1120-96 	Div 132	230	342	1985-86	1983						
22/01/1988	Abortion (Amendment) Bill (Second Reading)	125 cc1227-1296	Div 150	296	251	1987-88	1987						
09/02/1988	Televising the House	127 cc192-286	Div 172	318	264	1987-88	1987						
07/06/1988	Criminal Justice Bil (Report Stage) (New clause: Capital Punishment)	134 cc742-818	Div 342	218	341	1987-88	1987						
12/12/1989	War Crimes Inquiry	163 cc868-910	Div 14	348	123	1989-90	1987						
