Constituency,Signatories
"Brighton, Pavilion",1112
Cities of London and Westminster,1097
Bristol West,862
"Liverpool, Riverside",651
"Lewisham, Deptford",641
Manchester Central,609
Hove,575
Edinburgh East,571
Norwich South,559
Hornsey and Wood Green,536
York Central,532
Sheffield Central,529
Hackney North and Stoke Newington,527
Edinburgh North and Leith,521
"Brighton, Kemptown",506
Glasgow Central,505
Bethnal Green and Bow,495
Hackney South and Shoreditch,492
"Manchester, Withington",489
Cambridge,485
Edinburgh South,473
Exeter,465
Cardiff Central,465
Leeds Central,454
Dulwich and West Norwood,446
Camberwell and Peckham,444
Oxford East,443
Islington North,441
Canterbury,433
Bristol South,427
"Plymouth, Sutton and Devonport",421
"Manchester, Gorton",418
Holborn and St Pancras,411
Richmond Park,404
Glasgow North,402
Bath,392
Streatham,390
South Cambridgeshire,389
Tottenham,385
Leeds North West,383
Kingston and Surbiton,381
Newcastle upon Tyne East,380
South East Cambridgeshire,377
"Sheffield, Hallam",373
Ealing Central and Acton,369
Oxford West and Abingdon,369
Twickenham,367
Hampstead and Kilburn,365
Edinburgh South West,365
Dundee West,363
Lincoln,357
Cheltenham,356
"Birmingham, Selly Oak",355
Lewisham West and Penge,352
Reading East,352
Horsham,348
Tooting,347
Guildford,346
Tunbridge Wells,345
Truro and Falmouth,344
Salford and Eccles,342
Bermondsey and Old Southwark,337
Winchester,337
Hitchin and Harpenden,336
York Outer,336
Glasgow South,330
Vauxhall,329
Chesham and Amersham,327
Finchley and Golders Green,326
St Albans,326
Walthamstow,323
Islington South and Finsbury,322
Nottingham East,321
Chelmsford,318
South West Surrey,316
Wimbledon,314
Bristol North West,312
Maidenhead,312
Bristol East,309
Surrey Heath,309
Lewes,308
Maidstone and The Weald,308
Fareham,306
Buckingham,305
South West Hertfordshire,302
Wokingham,297
Esher and Walton,296
Broxtowe,291
"Southampton, Test",291
Stroud,291
Hammersmith,290
Nottingham South,289
Greenwich and Woolwich,288
North East Hertfordshire,287
Warwick and Leamington,287
East Lothian,287
Beckenham,284
Isle of Wight,284
Bournemouth West,283
Mid Sussex,282
Brentford and Isleworth,280
Colchester,279
Hertford and Stortford,279
Stirling,277
Putney,275
Edinburgh West,271
Runnymede and Weybridge,269
Cardiff South and Penarth,267
Filton and Bradley Stoke,266
Tynemouth,266
Wantage,266
Basingstoke,265
North East Fife,265
Milton Keynes North,263
City of Durham,262
Cardiff North,262
Altrincham and Sale West,261
Shrewsbury and Atcham,261
East Hampshire,260
Lancaster and Fleetwood,260
Leeds West,260
East Dunbartonshire,260
Ashford,259
Bracknell,259
Stretford and Urmston,259
Aylesbury,258
"Southampton, Itchen",257
Newbury,256
Portsmouth South,256
Somerton and Frome,255
Witney,254
Bournemouth East,253
Arundel and South Downs,252
Battersea,252
Hertsmere,251
Bury St Edmunds,249
Chipping Barnet,249
West Dorset,249
Tiverton and Honiton,248
Watford,248
Norwich North,247
Wells,247
West Ham,247
"East Kilbride, Strathaven and Lesmahagow",247
"Liverpool, Wavertree",246
Poplar and Limehouse,246
Stockport,246
North Wiltshire,244
Rushcliffe,244
Welwyn Hatfield,244
Chelsea and Fulham,242
Chichester,242
East Worthing and Shoreham,242
Henley,242
Huntingdon,242
Central Devon,241
Lewisham East,241
Epsom and Ewell,240
East Surrey,239
Harrogate and Knaresborough,239
Leyton and Wanstead,238
North East Hampshire,238
Shipley,238
Cardiff West,238
Milton Keynes South,237
North Somerset,237
Windsor,237
East Devon,236
Leeds North East,236
Aberdeen North,236
Ceredigion,236
Grantham and Stamford,235
Warrington South,235
Dunfermline and West Fife,235
Banbury,234
Calder Valley,234
Wealden,233
Aldershot,231
Coventry South,231
Loughborough,231
