"PCON11CD","cName","country","region","IndianRestaurants","ItalianRestaurants","ChineseRestaurants","PubRestaurants","SpecialityRestaurants","TraditionalRestaurants","EnglishRestaurants","FishandChipShopsandRestaurants","FastFoodRestaurants","ThaiRestaurants","EuropeanRestaurants","ModernCuisineRestaurants","MediterraneanRestaurants","SeafoodRestaurants","AmericanRestaurants","TurkishRestaurants","HotelRestaurants","PortugueseRestaurants","JapaneseRestaurants","FrenchRestaurants","AfricanRestaurants","MexicanRestaurants","SteakhouseRestaurants","CaribbeanRestaurants","SpanishRestaurants","MiddleEasternRestaurants","GreekRestaurants","LebaneseRestaurants","VegetarianRestaurants","Bistros","NepaleseRestaurants","BangladeshiRestaurants","Pizzerias","PersianRestaurants","PizzaDeliveryandTakeaway","KoreanRestaurants","IndianTakeaways","MoroccanRestaurants","PolishRestaurants","ScottishRestaurants","IndonesianRestaurants","MalaysianRestaurants","VietnameseRestaurants","WelshRestaurants","TapasRestaurants","KurdishRestaurants","IrishRestaurants","BelgianRestaurants","AustrianRestaurants","ChineseTakeaways","FastFoodTakeaways","MongolianRestaurants","RussianRestaurants","ArmenianRestaurants","ChineseBuffets","Pizzas","ItalianTakeaways","totalRestaurants","IndianRestaurantsPercent","ItalianRestaurantsPercent","ChineseRestaurantsPercent","PubRestaurantsPercent","SpecialityRestaurantsPercent","TraditionalRestaurantsPercent","EnglishRestaurantsPercent","FishandChipShopsandRestaurantsPercent","FastFoodRestaurantsPercent","ThaiRestaurantsPercent","EuropeanRestaurantsPercent","ModernCuisineRestaurantsPercent","MediterraneanRestaurantsPercent","SeafoodRestaurantsPercent","AmericanRestaurantsPercent","TurkishRestaurantsPercent","HotelRestaurantsPercent","PortugueseRestaurantsPercent","JapaneseRestaurantsPercent","FrenchRestaurantsPercent","AfricanRestaurantsPercent","MexicanRestaurantsPercent","SteakhouseRestaurantsPercent","CaribbeanRestaurantsPercent","SpanishRestaurantsPercent","MiddleEasternRestaurantsPercent","GreekRestaurantsPercent","LebaneseRestaurantsPercent","VegetarianRestaurantsPercent","BistrosPercent","NepaleseRestaurantsPercent","BangladeshiRestaurantsPercent","PizzeriasPercent","PersianRestaurantsPercent","PizzaDeliveryandTakeawayPercent","KoreanRestaurantsPercent","IndianTakeawaysPercent","MoroccanRestaurantsPercent","PolishRestaurantsPercent","ScottishRestaurantsPercent","IndonesianRestaurantsPercent","MalaysianRestaurantsPercent","VietnameseRestaurantsPercent","WelshRestaurantsPercent","TapasRestaurantsPercent","KurdishRestaurantsPercent","IrishRestaurantsPercent","BelgianRestaurantsPercent","AustrianRestaurantsPercent","ChineseTakeawaysPercent","FastFoodTakeawaysPercent","MongolianRestaurantsPercent","RussianRestaurantsPercent","ArmenianRestaurantsPercent","ChineseBuffetsPercent","PizzasPercent","ItalianTakeawaysPercent","mostDominantFood","restaurantDiversity","brexitPercent","c11Age0to4","c11Age5to7","c11Age8to9","c11Age10to14","c11Age15","c11Age16to17","c11Age18to19","c11Age20to24","c11Age25to29","c11Age30to44","c11Age45to59","c11Age60to64","c11Age65to74","c11Age75to84","c11Age85to89","c11Age90plus","c11NSSECRoutine","c11BornUK","c11Retired","c11Christian","c11Degree","region.1","antiTrumpSigs","antiTrumpPercent","c11Population"
"E14000530","Aldershot","England","South East",287,170,105,190,28,29,48,127,143,46,32,4,7,9,28,11,10,18,22,22,2,8,28,6,10,0,2,8,1,3,47,4,27,0,0,1,4,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1494,19.2101740294511,11.3788487282463,7.0281124497992,12.7175368139224,1.87416331994645,1.94109772423025,3.21285140562249,8.50066934404284,9.57161981258367,3.07898259705489,2.14190093708166,0.267737617135207,0.468540829986613,0.602409638554217,1.87416331994645,0.736278447121821,0.669344042838019,1.20481927710843,1.47255689424364,1.47255689424364,0.133868808567604,0.535475234270415,1.87416331994645,0.401606425702811,0.669344042838019,0,0.133868808567604,0.535475234270415,0.0669344042838019,0.200803212851406,3.14591700133869,0.267737617135207,1.80722891566265,0,0,0.0669344042838019,0.267737617135207,0,0,0,0.334672021419009,0,0.0669344042838019,0,0,0,0.0669344042838019,0,0,0,0,0,0,0,0,0,0,"IndianRestaurants",5.205574913,57.8977657,7.0389330459383,3.79322953753777,2.16027405169262,5.81012682588865,1.27884374819576,2.65583803237043,2.40372587132657,7.00236715998537,7.57779873366563,23.686996016243,18.7939031196474,5.11729951309636,7.02834818421508,3.99915321106214,1.07388233482804,0.579280614306884,9.92757097137823,83.1046361694348,10.3253475686391,58.141683185466,13.8706609032786,"South East",1237,1.19031581378341,103922
"E14000531","Aldridge-Brownhills","England","West Midlands",278,39,33,53,21,14,32,211,155,9,3,7,6,3,17,9,2,6,4,2,3,8,9,15,7,3,8,1,3,0,0,20,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,993,27.9959718026183,3.92749244712991,3.32326283987915,5.337361530715,2.11480362537764,1.4098690835851,3.22255790533736,21.2487411883182,15.6092648539778,0.906344410876133,0.302114803625378,0.704934541792548,0.604229607250755,0.302114803625378,1.71198388721047,0.906344410876133,0.201409869083585,0.604229607250755,0.40281973816717,0.201409869083585,0.302114803625378,0.80563947633434,0.906344410876133,1.51057401812689,0.704934541792548,0.302114803625378,0.80563947633434,0.100704934541793,0.302114803625378,0,0,2.01409869083585,0.503524672708963,0,0.604229607250755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100704934541793,0,0,0,0,0,0,0,"IndianRestaurants",3.571942446,67.7963496,5.18616675760646,3.19978174448515,2.09031621066854,5.95915503936394,1.25886663029075,2.59048509886455,2.23192246732663,5.0939278197833,5.04196222100969,18.6816327591135,20.332839660145,6.71395536155065,11.750721022683,7.41289266505573,1.70057421986645,0.754800322186712,12.6618601814986,96.1220671915192,18.6574123892536,70.1743445838855,9.97411371026297,"West Midlands",497,0.645672564762128,76974
"E14000532","Altrincham and Sale West","England","North West",139,124,50,77,20,34,38,166,116,20,22,1,9,2,31,22,0,4,10,16,0,3,10,6,16,7,5,7,9,7,7,6,9,2,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,13.9,12.4,5,7.7,2,3.4,3.8,16.6,11.6,2,2.2,0.1,0.9,0.2,3.1,2.2,0,0.4,1,1.6,0,0.3,1,0.6,1.6,0.7,0.5,0.7,0.9,0.7,0.7,0.6,0.9,0.2,0,0,0,0.1,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FishandChipShopsandRestaurants",6.024096386,38.5878,6.30597053555714,3.74983176486422,2.49505647524096,6.32874698470872,1.26202234162603,2.6814092410266,1.94842169560311,4.48903106914723,5.42079489807539,21.3643093041795,20.8218156971146,5.94361793541841,8.78032114793304,5.93740617655889,1.6347278731973,0.836516859748838,6.11180340220825,90.4856560135002,14.1391601704002,65.2690209232744,28.6001348267994,"North West",1899,1.96602167903842,96591
"E14000533","Amber Valley","England","East Midlands",268,100,94,224,27,41,56,332,274,33,20,15,5,2,39,15,6,10,9,7,5,15,30,27,10,3,10,0,0,0,20,8,18,0,5,0,7,4,3,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1749,15.3230417381361,5.71755288736421,5.37449971412236,12.8073184676958,1.54373927958834,2.34419668381933,3.20182961692396,18.9822755860492,15.6660949113779,1.88679245283019,1.14351057747284,0.857632933104631,0.28587764436821,0.114351057747284,2.22984562607204,0.857632933104631,0.343053173241852,0.571755288736421,0.514579759862779,0.400228702115495,0.28587764436821,0.857632933104631,1.71526586620926,1.54373927958834,0.571755288736421,0.171526586620926,0.571755288736421,0,0,0,1.14351057747284,0.457404230989137,1.02915951972556,0,0.28587764436821,0,0.400228702115495,0.228702115494568,0.171526586620926,0,0,0,0,0,0,0,0,0,0,0.28587764436821,0.114351057747284,0,0,0,0,0,0,"FishandChipShopsandRestaurants",5.268072289,65.2991247,5.40718910369469,3.07340441268505,2.11076089801213,5.7451384226756,1.16518553076249,2.51015554771685,2.22682430049042,5.52097675318321,5.66776282102341,20.0562110988473,20.9551335298067,7.42123049964157,10.0906887566424,5.65524617957967,1.57026956294164,0.823822582296918,17.4160909702268,97.3043705836168,16.9896680320352,60.0161578462274,9.33629417119528,"East Midlands",704,0.801065052399213,87883
"E14000534","Arundel and South Downs","England","South East",769,416,259,763,112,172,305,783,576,222,47,36,42,71,111,71,44,41,55,55,9,85,68,23,73,11,46,6,48,32,38,3,88,3,18,10,16,1,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5538,13.8858793788371,7.51173708920188,4.67677862044059,13.7775370169736,2.02239075478512,3.10581437342001,5.50740339472734,14.1386782231853,10.4008667388949,4.00866738894908,0.848681834597328,0.650054171180932,0.75839653304442,1.28205128205128,2.00433369447454,1.28205128205128,0.794510653665583,0.740339472733839,0.993138317081979,0.993138317081979,0.162513542795233,1.53485012639942,1.22788010111954,0.415312387143373,1.31816540267245,0.198627663416396,0.830624774286746,0.108342361863489,0.866738894907909,0.577825929938606,0.686168291802095,0.0541711809317443,1.58902130733117,0.0541711809317443,0.325027085590466,0.180570603105814,0.288912964969303,0.0180570603105814,0,0,0.0902853015529072,0.0180570603105814,0.0541711809317443,0,0,0,0,0,0,0,0,0,0,0.0180570603105814,0,0,0,"FishandChipShopsandRestaurants",7.072796935,49.7011058,4.8803808074681,3.17990685432881,2.18779236534488,5.9825017734689,1.16277874304749,2.43556396311185,1.8721663051189,3.86256387058303,3.46468997707342,16.9708123001635,22.1195266637195,7.99860178683418,12.3402592862944,8.01607945140695,2.24228155489529,1.28409429714086,6.86033390237551,93.337925504025,18.6843551980556,65.4836686646036,18.7755914821591,"South East",1793,1.84337956346963,97267
"E14000535","Ashfield","England","East Midlands",196,63,77,177,11,24,25,294,213,13,10,3,5,7,17,5,5,6,4,8,0,5,17,7,2,0,9,0,0,5,14,0,10,0,7,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1250,15.68,5.04,6.16,14.16,0.88,1.92,2,23.52,17.04,1.04,0.8,0.24,0.4,0.56,1.36,0.4,0.4,0.48,0.32,0.64,0,0.4,1.36,0.56,0.16,0,0.72,0,0,0.4,1.12,0,0.8,0,0.56,0,0.4,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,"FishandChipShopsandRestaurants",4.25170068,70.4728888,6.04333065133348,3.34595835704614,2.10962183802029,5.85591773456051,1.28343505308397,2.48935376886394,2.39515670074769,5.81470651725965,5.73032164373884,19.9638911238888,20.8224581509901,6.66542378868458,9.95741507545578,5.37708263830288,1.44827992228742,0.697647035736013,19.8054536756498,96.9621445532508,17.0865890607559,58.2069195596287,6.08545689166536,"East Midlands",706,0.692740938438291,101914
"E14000536","Ashford","England","South East",285,132,108,521,27,99,100,242,170,39,28,23,11,32,72,22,17,13,40,45,1,45,18,1,7,0,8,0,2,8,28,1,25,0,2,1,3,7,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,2188,13.0255941499086,6.03290676416819,4.93601462522852,23.8117001828154,1.23400365630713,4.52468007312614,4.57038391224863,11.0603290676417,7.76965265082267,1.78244972577697,1.27970749542962,1.05118829981718,0.502742230347349,1.46252285191956,3.29067641681901,1.0054844606947,0.776965265082267,0.594149908592322,1.82815356489945,2.05667276051188,0.0457038391224863,2.05667276051188,0.822669104204753,0.0457038391224863,0.319926873857404,0,0.36563071297989,0,0.0914076782449726,0.36563071297989,1.27970749542962,0.0457038391224863,1.14259597806216,0,0.0914076782449726,0.0457038391224863,0.137111517367459,0.319926873857404,0,0,0,0,0,0,0,0,0,0.0914076782449726,0,0.0914076782449726,0,0,0.0457038391224863,0,0,0,0,"PubRestaurants",4.199616123,59.8619474,6.68939259783956,3.70727820081459,2.55533911811581,6.66017354347441,1.33079511244909,2.70231981583142,2.46591110324066,5.34974322649194,5.57375597662476,20.1797414556402,19.6661944395254,6.36886842571277,9.02426066938197,5.42500442712945,1.50699486452984,0.794227023198158,10.4417770385174,90.5082344607756,14.1743523541168,62.7279971666372,13.1217310470729,"South East",1308,1.15813706392775,112940
"E14000537","Ashton-under-Lyne","England","North West",398,218,115,174,32,49,54,596,583,52,13,20,7,4,60,18,13,40,9,3,48,25,34,48,36,5,6,2,8,4,3,9,20,7,14,2,0,0,2,0,1,6,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2748,14.4832605531295,7.93304221251819,4.18486171761281,6.33187772925764,1.16448326055313,1.78311499272198,1.96506550218341,21.688500727802,21.2154294032023,1.89228529839884,0.473071324599709,0.727802037845706,0.254730713245997,0.145560407569141,2.18340611353712,0.655021834061135,0.473071324599709,1.45560407569141,0.327510917030568,0.109170305676856,1.74672489082969,0.909752547307132,1.2372634643377,1.74672489082969,1.31004366812227,0.181950509461426,0.218340611353712,0.0727802037845706,0.291120815138282,0.145560407569141,0.109170305676856,0.327510917030568,0.727802037845706,0.254730713245997,0.509461426491994,0.0727802037845706,0,0,0.0727802037845706,0,0.0363901018922853,0.218340611353712,0.291120815138282,0,0,0,0,0,0,0.0363901018922853,0,0,0.0363901018922853,0,0,0,0,"FishandChipShopsandRestaurants",4.610738255,61.8098026,6.53927766234915,3.49343530347907,2.12523761106936,6.11599840855842,1.28199460678131,2.71650236505902,2.51204632863269,6.42544538260908,6.77357322841607,20.3560850537112,20.0665310994209,6.02647981963662,8.66009460236064,4.99867379868264,1.29857212324831,0.610052605985589,15.2617262056839,90.7287476238893,14.5433505162386,65.0424384421555,7.89954526095976,"North West",814,0.89960656027585,90484
"E14000538","Aylesbury","England","South East",661,234,145,796,45,132,109,260,364,140,19,17,49,16,40,48,29,33,36,52,11,10,28,26,31,3,18,3,4,6,3,2,78,1,8,0,1,0,9,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3479,18.9997125610808,6.72607070997413,4.16786432883012,22.8801379706812,1.29347513653349,3.79419373383156,3.13308421960333,7.47341189997126,10.4627766599598,4.02414486921529,0.546133946536361,0.488646162690428,1.40845070422535,0.459902270767462,1.14975567691865,1.37970681230239,0.833572865766025,0.94854843345789,1.03478010922679,1.49468237999425,0.31618281115263,0.287438919229664,0.804828973843058,0.747341189997126,0.891060649611957,0.0862316757688991,0.517390054613395,0.0862316757688991,0.114975567691865,0.172463351537798,0.0862316757688991,0.0574877838459327,2.24202356999138,0.0287438919229664,0.229951135383731,0,0.0287438919229664,0,0.258695027306697,0,0,0,0,0,0,0,0,0.344926703075596,0,0,0,0,0,0,0,0,0,"PubRestaurants",4.370603015,51.7879098,7.17320669832542,3.79071898691994,2.367000842382,6.21418719394226,1.3292973053033,2.50678071222935,2.12909735529081,5.43197533949846,6.53910596424968,22.7137660029437,20.057948475844,5.56342395882511,7.56570116730077,4.7515898803077,1.18211187943755,0.684088237199959,9.15892145848228,86.959741546095,11.615258911245,59.1231821674211,17.7989400657487,"South East",1631,1.50980773325187,108027
"E14000539","Banbury","England","South East",295,145,132,476,49,64,113,179,226,74,41,1,22,2,67,36,25,22,39,21,5,20,11,19,19,3,14,32,3,2,14,28,50,4,6,4,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2271,12.9898723029502,6.3848524878908,5.81241743725231,20.9599295464553,2.15763980625275,2.8181417877587,4.97578159401145,7.8819903126376,9.9515631880229,3.25847644209599,1.80537208278292,0.0440334654337296,0.968736239542052,0.0880669308674593,2.95024218405989,1.58520475561427,1.10083663584324,0.968736239542052,1.71730515191546,0.924702774108322,0.220167327168648,0.880669308674593,0.484368119771026,0.836635843240863,0.836635843240863,0.132100396301189,0.616468516072215,1.40907089387935,0.132100396301189,0.0880669308674593,0.616468516072215,1.23293703214443,2.20167327168648,0.176133861734919,0.264200792602378,0.176133861734919,0,0.0440334654337296,0.264200792602378,0,0,0,0,0,0,0,0,0.0440334654337296,0,0,0,0,0,0,0,0,0,"PubRestaurants",4.771008403,50.3477977,7.18489247676548,3.73363408181263,2.26409334509192,6.19530561020284,1.2592429278882,2.49474255477919,2.20303914252764,5.40329692693847,6.930499966081,22.3517739637745,19.7111797028695,5.80099721864188,7.86836035547114,4.73933247405196,1.21514822603623,0.644461027067363,11.6188278618793,88.8253849806662,11.8728804670839,63.4590597652805,16.7003237490784,"South East",1840,1.56027406553151,117928
